Company,MarriottInternational,LVSLasVegasSandsCorp.,HLTHiltonWorldwideHoldingsInc.,MGMMGMResortsInternational,WYNDWyndhamDestinationsInc.
ThisrowincludestheBeta.TheBetaisdefinedasameasureofthevolatilityofastockrelativetotheoverallmarket.Abetaoflessthanoneindicateslowerriskthanthemarket.Abetaofmorethanoneindicateshigherriskthanthemarket.NASDAQ.comusestheSP500astheunderlyingindextomeasuretheoverallmarketforbeta.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive.04andbelowIndicatesamuchlowerriskthanthemarketPositive.99to.05IndicatesalowerriskthanthemarketNeutral1to1.19IndicatesriskalignedwiththemarketNegative1.2-1.69IndicatesahigherriskthanthemarketMoreNegative1.7-1.99IndicatesamuchhigherriskthanthemarketVeryNegative2.0andaboveIndicatesamuchgreaterriskthanthemarket,,,,,
Volume,2438100,5813053,5026103,14909288,1936762
AvgDailyVolume,2315513,4507054,3671644,9170325,1287662
ShortInterest,6534458,N/A,N/A,N/A,N/A
%ofsharesoutstanding,1883%,0%,0%,0%,0%
Daystocover,2.997023,N/A,N/A,N/A,N/A
ThisrowincludestheDaystoCover.TheDaystoCoveriscalculatedastheaggregateshortinterestforthemonthdividedbytheaveragedailysharevolumetradedfortheperiodbetweenshortinterestsettlementdates.DaystocoverisalsoreferredtoasShort-InterestRatio.Thetermdaystocoverwascoinedtoindicatehowmanydaysitwilltakeshortsellerstocovertheirpositionsifthepriceofastockrises.SomeinvestorsseeahighshortinterestasanopportunitythisisreferredtoasShortSqueeze.VisitInvestopediaformoreinformationaboutShortSqueeze.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Inthisinstancetheratingisassumingthatthepersonistheshortseller.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.PleasenoteTheSEChasissuedtechnicalammendmentstotheEmergencyShortSaleorderthatprovidedlistingexchangeswithguidanceregardingwhichsecuritiesarecoveredbytheOrder.NASDAQhaspostedalistofinculdedfinancialfirmsforourmarketaswellasaconsolidatedlistforallexchanges.NASDAQcontinuetopostupdatedlistsonthispagedailyuntiltheexpirationoftheemergencyorder.VisitNASDAQTrader.comforadditionaldetails.ColorKeyVeryPositive1andlowerThisindicatesthatthestockwouldtakelessthanadayforshortsellerstocovertheirpositions.Positive1.1-1.5Thisindicatesthatthestockwouldtakeslightlylongerthanadayforshortsellerstocovertheirpositions.Neutral1.6-2Thisindicatesthatthestockwouldtakeuptotwodaysforshortsellerstocovertheirpositions.Negative2.1-3Thisindicatesthatthestockwouldtakemorethanatwodaysforshortsellerstocovertheirpositions.MoreNegative3-8Thisindicatesthatthestockwouldlongerforshortsellerstocovertheirpositions.VeryNegative9andaboveThisindicatesthatthestockwouldtakemuchlongerforshortsellerstocovertheirpositions.,,,,,
EPS,$4.38,$4.80,$4.37,$3.27,$10.49
P/E,26.69,10.63,16.29,8.16,3.42
ThisrowincludestheP/E.TheP/Eisdefinedasthestockanalysisstatisticinwhichthecurrentpriceofastocktodayscurrentlastsalepriceisdividedbythereportedactualorsometimesprojectedwhichwouldbeforecastearningspershareoftheissuingfirmitisalsocalledthemultiple.VisitInvestopedia.comtoreadaboutP/ERatioUsingTheP/ERatio.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.AlowP/Emightindicateanumberofnegativefactorsincludingbutnotlimitedtoprojectedlowerearnings.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive1-7Positive8-14Neutral15-25AccordingtoInvestopediaHistoricallytheaverageP/Eratiointhemarkethasbeenaround15-25Negative26-35MoreNegative36-45VeryNegative46andabove,,,,,
PEG,N/A,N/A,N/A,N/A,N/A
ThisrowincludesthePEGRatio.ThePEGRatioisdefinedastheforecastedearningsforthenext12monthsdividedbytheforecastedgrowthrateforthecompanybaseduponaconsensusofparticipatinganalysts.AccordingtoInvestopedia.comPEGisawidelyusedindicatorofastockspotentialvalue.Itisfavoredbymanyovertheprice/earningsratiobecauseitalsoaccountsforgrowth.SimilartotheP/EratioalowerPEGmeansthatthestockismoreundervalued.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive.04andbelowPositive.09to.05Neutral1to1.5Negative1.6-2MoreNegative2.1-2.9VeryNegative3.0andabove,,,,,
AnnualizedDividend,1.64,N/A,N/A,N/A,N/A
DividendYield,1.42,5.90,0.87,1.91,4.71
DividendYield.AccordingtoInvestopedia.comitisafinancialratiothatshowshowmuchacompanypaysoutindividendseachyearrelativetoitsshareprice.Addingthehigherthedividendyieldthemorelikelyaninvestorwouldselectthatstock.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive6%andabovePositive1.3-5%Neutral1to1.2%NegativeN/AMoreNegativeN/AVeryNegativeN/A,,,,,
MeanRecommendation,2.19,N/A,N/A,2.89,N/A
ConsensusRatingTheaverageofanalystsrecommendationsforasingleentity.Asmanybrokershavedifferentratingssystemstheirrecommendationsmustbestandardizedsothataconsensuscanbecalculated.TheThomsonFinancialI/B/E/SratingsarecalculatedusingastandardsetofrecommendationsmaintainedbyThomsonFinancialI/B/E/Seachwithanassignednumericvalue1StrongBuy2Buy3Hold4Underperform5SellMeanRecommendationEachrecommendationreceivedfromtheanalystsismappedtooneoftheThomsonFinancialI/B/E/Sstandardratings.AssigninganumericvaluetothebrokertextenablesThomsonFinancialI/B/E/Stocalculateaconsensusrecommendation.Thisconsensusrecommendationappearsasthemeanaverageoftheassignedvalues.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositivePositiveNeutralNegativeVeryNegative,,,,,
ForecastEarningsGrowth,19.27%,N/A,N/A,N/A,N/A
IndustryForecastEarningsGrowth,30.23%,30.23%,30.23%,30.23%,58.66%
Growthraterelativetoindustry,-10.96%,N/A,N/A,N/A,N/A
P/E/GrowthInvestorPeterLynch,72%,0%,0%,0%,0%
GrowthValuesInvestorJamesOShaughnessey,40%,60%,40%,40%,50%
varSymbolListdocument.getElementByIdquotescontentleftSCSymbolListValues.valuedocument.getElementByIdchartholder.innerHTMLshowChartsym+SymbolList+showInputfalsetypecandleperiod1y
CLOSEXEditFavoritesEnterupto25symbolsseparatedbycommasorspacesinthetextboxbelow.Thesesymbolswillbeavailableduringyoursessionforuseonapplicablepages.UpdateClearListCLOSEXCustomizeyourNASDAQ.comexperienceBackgroundColorSelectorSelectthebackgroundcolorofyourchoiceBlackSlateGrayLightGrayGrayBlueQuoteSearchSelectadefaulttargetpageforyourquotesearchReal-TimeAfterHoursPre-MarketNewsFlashQuoteSummaryQuoteInteractiveChartsDefaultSettingPleasenotethatonceyoumakeyourselectionitwillapplytoallfuturevisitstoNASDAQ.com.IfatanytimeyouareinterestedinrevertingtoourdefaultsettingspleaseselectDefaultSettingabove.Ifyouhaveanyquestionsorencounteranyissuesinchangingyourdefaultsettingspleaseemailisfeedbacknasdaq.com.CLOSEXPleaseconfirmyourselectionYouhaveselectedtochangeyourdefaultsettingfortheQuoteSearch.Thiswillnowbeyourdefaulttargetpageunlessyouchangeyourconfigurationagainoryoudeleteyourcookies.AreyousureyouwanttochangeyoursettingsYESNO
CLOSEXPleasedisableyouradblockerorupdateyoursettingstoensurethatjavascriptandcookiesareenabledsothatwecancontinuetoprovideyouwiththefirst-ratemarketnewsanddatayouvecometoexpectfromus.CLOSEX
