Company,MOAltriaGroup,BTIBritishAmericanTobaccop.l.c.,SITESiteOneLandscapeSupplyInc.,Cal-MaineFoodsInc.,PMPhilipMorrisInternationalInc
ThisrowincludestheDaystoCover.TheDaystoCoveriscalculatedastheaggregateshortinterestforthemonthdividedbytheaveragedailysharevolumetradedfortheperiodbetweenshortinterestsettlementdates.DaystocoverisalsoreferredtoasShort-InterestRatio.Thetermdaystocoverwascoinedtoindicatehowmanydaysitwilltakeshortsellerstocovertheirpositionsifthepriceofastockrises.SomeinvestorsseeahighshortinterestasanopportunitythisisreferredtoasShortSqueeze.VisitInvestopediaformoreinformationaboutShortSqueeze.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Inthisinstancetheratingisassumingthatthepersonistheshortseller.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.PleasenoteTheSEChasissuedtechnicalammendmentstotheEmergencyShortSaleorderthatprovidedlistingexchangeswithguidanceregardingwhichsecuritiesarecoveredbytheOrder.NASDAQhaspostedalistofinculdedfinancialfirmsforourmarketaswellasaconsolidatedlistforallexchanges.NASDAQcontinuetopostupdatedlistsonthispagedailyuntiltheexpirationoftheemergencyorder.VisitNASDAQTrader.comforadditionaldetails.ColorKeyVeryPositive1andlowerThisindicatesthatthestockwouldtakelessthanadayforshortsellerstocovertheirpositions.Positive1.1-1.5Thisindicatesthatthestockwouldtakeslightlylongerthanadayforshortsellerstocovertheirpositions.Neutral1.6-2Thisindicatesthatthestockwouldtakeuptotwodaysforshortsellerstocovertheirpositions.Negative2.1-3Thisindicatesthatthestockwouldtakemorethanatwodaysforshortsellerstocovertheirpositions.MoreNegative3-8Thisindicatesthatthestockwouldlongerforshortsellerstocovertheirpositions.VeryNegative9andaboveThisindicatesthatthestockwouldtakemuchlongerforshortsellerstocovertheirpositions.,,,,,
EPS,$3.68,N/A,$1.70,$3.01,$5.08
P/E,15.02,N/A,35.38,14.13,16.79
ThisrowincludestheP/E.TheP/Eisdefinedasthestockanalysisstatisticinwhichthecurrentpriceofastocktodayscurrentlastsalepriceisdividedbythereportedactualorsometimesprojectedwhichwouldbeforecastearningspershareoftheissuingfirmitisalsocalledthemultiple.VisitInvestopedia.comtoreadaboutP/ERatioUsingTheP/ERatio.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.AlowP/Emightindicateanumberofnegativefactorsincludingbutnotlimitedtoprojectedlowerearnings.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive1-7Positive8-14Neutral15-25AccordingtoInvestopediaHistoricallytheaverageP/Eratiointhemarkethasbeenaround15-25Negative26-35MoreNegative36-45VeryNegative46andabove,,,,,
PEG,N/A,N/A,N/A,N/A,N/A
ThisrowincludesthePEGRatio.ThePEGRatioisdefinedastheforecastedearningsforthenext12monthsdividedbytheforecastedgrowthrateforthecompanybaseduponaconsensusofparticipatinganalysts.AccordingtoInvestopedia.comPEGisawidelyusedindicatorofastockspotentialvalue.Itisfavoredbymanyovertheprice/earningsratiobecauseitalsoaccountsforgrowth.SimilartotheP/EratioalowerPEGmeansthatthestockismoreundervalued.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive.04andbelowPositive.09to.05Neutral1to1.5Negative1.6-2MoreNegative2.1-2.9VeryNegative3.0andabove,,,,,
AnnualizedDividend,N/A,N/A,N/A,0.6,N/A
DividendYield,5.84,3.31,N/A,1.42,5.34
DividendYield.AccordingtoInvestopedia.comitisafinancialratiothatshowshowmuchacompanypaysoutindividendseachyearrelativetoitsshareprice.Addingthehigherthedividendyieldthemorelikelyaninvestorwouldselectthatstock.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive6%andabovePositive1.3-5%Neutral1to1.2%NegativeN/AMoreNegativeN/AVeryNegativeN/A,,,,,
MeanRecommendation,2.33,2.33,2.33,3,N/A
ConsensusRatingTheaverageofanalystsrecommendationsforasingleentity.Asmanybrokershavedifferentratingssystemstheirrecommendationsmustbestandardizedsothataconsensuscanbecalculated.TheThomsonFinancialI/B/E/SratingsarecalculatedusingastandardsetofrecommendationsmaintainedbyThomsonFinancialI/B/E/Seachwithanassignednumericvalue1StrongBuy2Buy3Hold4Underperform5SellMeanRecommendationEachrecommendationreceivedfromtheanalystsismappedtooneoftheThomsonFinancialI/B/E/Sstandardratings.AssigninganumericvaluetothebrokertextenablesThomsonFinancialI/B/E/Stocalculateaconsensusrecommendation.Thisconsensusrecommendationappearsasthemeanaverageoftheassignedvalues.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositivePositiveNeutralNegativeVeryNegative,,,,,
ForecastEarningsGrowth,8.48%,8.48%,8.48%,-12.47%,N/A
IndustryForecastEarningsGrowth,13.34%,13.34%,13.34%,8.37%,13.34%
Growthraterelativetoindustry,-4.87%,-4.87%,-4.87%,-20.85%,N/A
P/E/GrowthInvestorPeterLynch,72%,91%,0%,0%,0%
GrowthValuesInvestorJamesOShaughnessey,60%,60%,50%,50%,60%
varSymbolListdocument.getElementByIdquotescontentleftSCSymbolListValues.valuedocument.getElementByIdchartholder.innerHTMLshowChartsym+SymbolList+showInputfalsetypecandleperiod1y
CLOSEXEditFavoritesEnterupto25symbolsseparatedbycommasorspacesinthetextboxbelow.Thesesymbolswillbeavailableduringyoursessionforuseonapplicablepages.UpdateClearListCLOSEXCustomizeyourNASDAQ.comexperienceBackgroundColorSelectorSelectthebackgroundcolorofyourchoiceBlackSlateGrayLightGrayGrayBlueQuoteSearchSelectadefaulttargetpageforyourquotesearchReal-TimeAfterHoursPre-MarketNewsFlashQuoteSummaryQuoteInteractiveChartsDefaultSettingPleasenotethatonceyoumakeyourselectionitwillapplytoallfuturevisitstoNASDAQ.com.IfatanytimeyouareinterestedinrevertingtoourdefaultsettingspleaseselectDefaultSettingabove.Ifyouhaveanyquestionsorencounteranyissuesinchangingyourdefaultsettingspleaseemailisfeedbacknasdaq.com.CLOSEXPleaseconfirmyourselectionYouhaveselectedtochangeyourdefaultsettingfortheQuoteSearch.Thiswillnowbeyourdefaulttargetpageunlessyouchangeyourconfigurationagainoryoudeleteyourcookies.AreyousureyouwanttochangeyoursettingsYESNO
CLOSEXPleasedisableyouradblockerorupdateyoursettingstoensurethatjavascriptandcookiesareenabledsothatwecancontinuetoprovideyouwiththefirst-ratemarketnewsanddatayouvecometoexpectfromus.CLOSEX
