0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
usb,Q4,2019,0,1,1,616,740,0,0,0.375137239,0.168152188,0.013457709,0,2,0,0.015694491,1,8.239309211,1,1,1,1,0,1,0,0,1,0,0.103,50.54,50.97,0.97,0.01,0,0.183547846,3,1,0,1,4,5,4,5,4,1,4,60,0,0,0
uri,Q4,2019,1,1,1,325,382,0,0,0.157807559,-0.284351145,0.089554225,0,0,0,0.185256625,1,14.22055675,0,0,1,1,1,0,1,1,1,1,-0.654,124.43,124.25,2.45,-0.05,1,0.234192143,4,0,0,1,1,5,0,5,4,1,0,75,74,1,1
cfg,Q4,2019,0,1,1,322,338,0,0,0.3551263,0.135983264,0.010844449,0,2,0,0.014258023,1,7.859854015,1,1,1,1,0,1,0,0,1,0,-0.302,35.1,35.11,0.85,0.02,1,0.228918295,3,0,0,0,2,5,3,5,4,1,4,40,93,1,1
dhr,Q4,2019,1,1,1,582,587,0,0,0.160329956,0.159588948,0.053422825,0,2,0,0.171482387,1,7.467489611,1,1,0,1,0,0,0,0,1,0,-0.128,126.45,109.69,0.98,0.01,0,0.134632307,4,1,0,1,5,5,3,5,0,1,0,60,0,1,1
gpc,Q4,2019,1,1,1,338,323,0,0,0.061884868,0.388906614,0.049688855,0,2,0,0.091084321,1,17.41087454,1,1,0,1,2,0,1,1,0,0,0.726,109.19,101.56,1.25,0.04,0,0.123971457,3,1,0,1,5,5,4,5,3,1,4,50,0,0,0
hon,Q4,2019,1,1,1,854,798,0,1,0.171460996,0.771510791,0.025979485,0,2,0,0.139392523,1,6.840027,1,1,0,0,0,0,1,1,1,0,0,155.97,147.72,1.81,0.02,0,0.138779172,3,0,0,1,5,5,4,5,3,1,4,80,0,1,1
isrg,Q4,2019,0,0,0,444,412,0,0,0.352048945,0.392740768,0.116136962,0,2,1,1.148032919,1,5.11857772,1,0,0,1,0,1,1,1,1,1,0,556.82,524.8,2.58,-0.11,1,0.165201274,3,1,1,1,5,5,2,5,0,1,0,40,0,0,0
key,Q4,2019,0,0,0,321,409,0,0,0.319946897,0.330394191,0.009411901,0,2,0,0.014795432,1,3.441462022,1,1,1,1,0,1,0,0,1,0,1.469,16.83,17.3,0.38,0.01,0,0.212461915,3,0,0,1,2,5,4,5,4,1,4,60,91,0,0
kmi,Q4,2019,1,1,1,531,563,0,0,0.157679679,0.896807034,0.002314844,0,1,0,0.104732421,1,0.341302453,0,1,1,1,0,0,0,0,1,0,0,19.8,17.86,0.22,-0.01,1,0.143977883,4,1,0,1,5,5,4,5,2,1,4,25,87,1,0
ppg,Q4,2019,0,1,1,335,423,0,0,0.135950637,0.306733167,0.096384085,0,1,0,0.144303331,1,5.222379603,1,1,0,1,1,0,1,1,0,0,0.709,111.22,106.06,1.18,0.05,0,0.140820353,3,1,1,1,5,5,4,5,3,1,4,40,0,1,0
pbct,Q4,2019,1,1,1,249,283,0,0,0.327444795,0.278098908,0.007585472,0,2,0,0.015582331,1,3.406160458,1,1,1,1,0,1,0,0,1,0,0.251,17.14,16.32,0.33,0.01,1,0.189051821,3,0,0,1,2,5,2,4,4,1,3,40,74,0,0
pm,Q4,2019,1,1,1,666,913,0,1,0.370390984,0.404489106,0.140453361,0,2,0,0.167525095,1,3.953789025,1,0,1,1,0,1,1,0,1,0,1.752,87.88,82.24,1,0.09,0,0.166998294,5,0,0,1,2,5,4,5,3,1,0,60,0,1,1
rf,Q4,2019,0,1,1,299,395,0,0,0.333511586,0.328166756,0.010161392,0,2,0,0.021100442,1,2.197414806,1,1,1,1,0,1,0,0,1,0,0.212,15.39,15.85,0.34,-0.01,0,0.241344566,3,0,0,0,2,5,4,5,4,1,4,40,91,1,0
slb,Q4,2019,0,1,1,505,1086,0,0,-0.038863338,-0.278951817,-0.020906553,0,2,0,0.163076657,1,2.629578438,0,1,1,1,1,0,0,0,0,0,0,43.78,47.03,0.28,0,0,0.184360682,4,0,0,1,1,5,3,5,2,1,4,60,0,0,1
sna,Q4,2019,1,1,1,222,359,0,0,0.205759568,0.304823229,0.106246785,0,2,0,0.267261068,1,8.258257638,1,1,1,1,0,0,1,1,1,0,0.351,158.29,159.91,2.82,0.01,0,0.19572805,4,1,0,1,2,5,4,5,4,1,4,50,91,1,0
sti,Q4,2019,0,1,1,406,478,0,0,0.332192185,0.189054726,0.011036016,0,2,0,0.030468785,1,4.885236448,1,1,1,1,0,1,0,0,1,0,-0.111,62.98,61.01,1.26,0.12,0,0.21343797,3,0,0,1,2,5,4,5,4,1,4,50,91,0,1
syf,Q4,2019,1,1,1,295,384,0,0,0.470089096,0.417870036,0.020196643,0,2,0,0.105119278,1,7071000,1,1,1,1,0,1,0,1,1,1,1.034,32.21,28.87,0.8,0.16,1,0.150124848,5,0,0,1,4,5,3,5,4,1,4,60,76,1,0
trv,Q4,2019,0,1,1,440,539,0,0,0.094457131,0.246886447,0.019867998,0,2,0,0.052011235,1,28902000,1,1,1,1,1,0,0,0,0,0,0.127,133.56,127.19,2.31,0.07,0,0.132068076,3,0,0,1,5,5,4,5,0,1,4,50,0,1,0
unp,Q4,2019,1,0,0,780,827,0,0,0.359322034,-0.403563941,0.185309483,0,1,0,0.219423369,1,0.416797488,0,1,0,1,0,1,1,1,1,0,-0.786,166.5,155.48,1.82,0.06,0,0.130207563,4,1,1,1,5,5,3,5,3,1,4,60,0,1,0
c,Q4,2019,0,1,1,660,945,0,0,0.354108001,1.291155925,-0.003689622,0,2,0,-0.005233445,0,64277000,1,0,1,1,0,1,0,0,1,0,0,63.55,63.42,1.73,0.06,0,0.17523319,4,1,0,1,3,5,3,5,4,1,4,80,91,1,0
mtb,Q4,2019,0,1,1,306,313,0,0,0.425289618,0.393980365,0.01187507,0,2,0,0.027182553,1,8.452592695,1,1,1,1,0,1,0,0,1,0,0.694,167.14,162.47,3.18,0.26,0,0.186749725,3,1,1,1,3,5,4,5,4,1,4,40,91,1,1
omc,Q4,2019,1,1,1,342,340,0,0,0.123638173,0.368671892,0.043656142,0,0,0,0.093713825,1,22.10681719,1,1,0,1,1,0,1,1,0,0,0.569,74.66,74.29,1.04,0.11,0,0.172115553,4,1,0,1,5,4,4,5,4,1,4,100,72,1,1
schw,Q4,2019,0,1,1,514,525,0,0,0.423532142,0.355068493,0.009676332,0,2,0,0.005619602,1,5.858599592,1,1,0,1,0,1,0,1,1,1,0.566,44.73,45.52,0.63,0.01,1,0.180657267,3,0,0,1,2,5,2,5,3,1,4,60,98,1,1
bac,Q4,2019,0,0,0,948,1051,0,0,0.347956072,0.375894294,0.007992166,0,2,0,0.004897502,1,9.079268952,1,0,1,1,0,1,0,0,1,1,2.077,28.73,27.89,0.62,0.07,0,0.178748998,3,0,0,1,4,5,3,5,4,1,4,80,93,1,0
blk,Q4,2019,1,1,1,610,618,0,0,0.422464174,0.051165435,0.022568648,0,2,0,0.02036972,1,21.09966216,1,1,1,1,0,1,0,0,1,0,-0.596,432.31,419.21,5.7,-0.19,0,0.172415967,3,1,0,1,2,5,2,5,3,1,4,40,0,1,0
cma,Q4,2019,0,1,1,296,306,0,0,0.398836458,0.397893031,0.01038188,0,2,0,0.017341677,1,6.639484979,1,1,1,1,0,1,0,1,1,0,1.768,81.25,80.5,1.86,0.01,1,0.227156887,3,0,0,1,2,5,4,5,4,1,4,40,93,1,0
gs,Q4,2019,1,1,1,555,766,1,0,0.347083216,0.61498383,0.004675079,0,0,0,-0.02185544,0,2.12488406,1,0,1,1,0,1,0,0,1,0,0,196.11,199.15,3.2,1.59,0,0.178706638,4,0,0,1,2,5,3,5,4,1,4,60,91,1,0
ibm,Q4,2019,0,1,1,758,1145,0,0,0.144050342,0.494912281,0.045893296,0,0,0,0.155382743,1,7.119377474,1,1,0,1,1,0,1,1,0,0,0,139.38,130.86,2.16,0.05,0,0.143954341,3,1,0,1,3,5,3,5,3,1,4,100,0,1,0
jnj,Q4,2019,0,1,1,1261,1332,0,1,0.2311707,0.926441464,0.008264305,0,2,0,0.216752622,1,4.495736548,1,1,0,1,0,0,1,1,1,0,0,137.65,137.01,1.95,0.02,0,0.13974748,3,1,0,1,4,5,4,5,3,1,4,80,0,1,1
nflx,Q4,2019,0,1,1,678,646,0,1,0.041506278,-0.151668689,0.029397601,0,0,0,-0.115739276,0,36.60791036,1,1,0,1,0,0,0,1,0,1,-0.278,360.97,326.18,0.53,0.06,1,0.140364376,3,1,0,1,3,5,3,5,0,1,4,60,91,1,1
pld,Q4,2019,1,1,1,337,327,0,1,0.633330089,0.03007819,0.056046973,0,2,0,0.156584102,1,0.130964659,1,0,1,0,0,1,0,0,1,1,0.988,71.24,66.71,0.27,0.52,1,0.139886076,3,0,0,1,5,5,4,5,0,1,4,60,91,1,1
unh,Q4,2019,1,1,1,956,825,0,0,0.069711025,0.228196534,0.075925154,0,2,0,0.156211223,1,43.55976613,1,1,0,1,1,0,1,1,0,1,-0.16,249.77,259.75,3.52,0.07,1,0.160545542,3,1,1,1,3,4,3,5,3,1,4,100,91,1,1
asml,Q4,2019,0,1,1,179,163,0,0,0.264730494,0.128967,0.113624243,0,2,0,0.245301855,1,5.227588218,1,1,0,1,2,0,1,1,1,1,0.332,186.52,174.75,1.56,0.08,1,0.172506003,3,0,0,1,4,5,2,2,2,1,0,50,87,1,1
abt,Q4,2019,0,1,1,860,868,1,0,0.081453085,0.841774989,0.006255738,0,2,0,0.123361091,1,3.600630998,1,1,0,1,0,0,0,0,0,0,0,78.18,72.49,0.6,0,0,0.138212277,3,1,1,1,5,5,2,5,0,1,4,60,0,1,0
bk,Q4,2019,1,1,1,409,529,0,0,0.296139269,0.107592191,0.011001781,0,2,0,0.01414191,1,9.526927785,1,1,1,1,0,1,0,0,1,0,-0.25,52.02,50.19,0.83,0.07,0,0.159909791,3,1,0,1,3,5,4,5,4,1,4,60,100,0,0
cci,Q4,2019,0,0,0,456,361,0,0,0.108126722,0.055201699,0.013807441,0,0,0,0.102714932,1,0.336812804,0,0,0,1,0,0,0,0,1,1,1.152,123.2,113.79,0.34,0,1,0.138771443,3,0,0,1,5,5,4,5,0,1,4,40,0,1,1
etfc,Q4,2019,0,1,1,260,302,0,0,0.419889503,0.422932331,0.009689892,0,2,0,0.019863912,1,18.23021583,1,1,1,1,0,1,0,1,1,1,1.093,47.94,48.63,0.88,0.03,0,0.178558023,5,0,0,0,2,4,4,5,4,1,5,60,0,1,1
ctxs,Q4,2019,1,0,0,288,289,0,0,0.194834399,0.960052403,-0.003559858,0,0,0,0.188137866,1,11.16776841,1,1,0,1,0,0,1,1,1,0,0,101.11,104.26,1.1,0.08,0,0.103303078,4,1,0,1,5,5,2,3,2,1,4,80,0,1,1
hal,Q4,2019,1,1,1,380,559,0,0,0.033074685,1.658357771,-0.018457245,0,1,0,0.147466539,1,2.419903767,0,1,1,1,1,0,1,1,0,0,0,29.71,31.75,0.2,0.04,0,0.082390579,4,1,1,1,1,5,4,5,3,1,4,60,0,1,1
kmb,Q4,2019,1,0,1,581,668,0,0,0.168683235,0.250726979,0.150353112,0,2,0,0.205270166,1,2.467455621,1,1,1,1,0,0,1,1,0,0,-0.334,120.77,114.45,1.42,-0.05,0,0.115813955,3,1,1,1,5,5,4,5,2,1,4,40,0,1,1
gww,Q4,2019,1,1,1,284,355,0,0,0.089720551,0.334516168,0.100913916,0,1,0,0.265698836,1,7.489299674,1,1,0,1,1,0,1,1,0,0,0.382,302.11,297.75,4,0.37,0,0.104799891,3,1,1,1,2,5,3,5,3,1,4,40,0,1,0
zion,Q4,2019,1,0,0,259,291,0,0,0.362088975,0.367521368,0.008930727,0,2,0,0.015833746,1,2.362888483,1,1,1,1,0,1,0,0,1,0,0.837,47.63,47.16,0.96,0.03,1,0.091268425,4,1,0,1,5,5,3,5,4,1,4,80,91,0,1
arnc,Q4,2019,0,1,0,236,238,1,1,0.036265432,1.157446809,-0.003953414,0,0,0,0.050819197,1,2.316767966,0,1,1,1,2,0,0,0,0,0,0,19.37,19.57,0.35,0.03,0,0.083272623,5,0,0,1,2,5,1,5,3,1,3,50,0,1,1
cnc,Q4,2019,0,1,1,354,370,0,0,0.024756042,0.287477954,0.037886067,0,2,0,0.099405835,1,41.49184783,1,0,1,1,2,0,1,0,0,1,0.048,55.7,62.68,1.04,0.03,1,0.080334117,5,0,0,1,1,4,4,5,3,1,0,75,69,1,1
ko,Q4,2019,1,1,1,908,967,0,1,0.190398193,0.824681104,0.014198598,0,0,0,0.103106545,1,4.316713398,1,0,0,1,0,0,1,1,1,0,0,46.22,47.3,0.45,0,0,0.120759702,4,1,1,1,4,5,4,5,2,1,4,40,0,1,1
ew,Q4,2019,1,0,0,369,420,0,1,0.301254621,0.436080781,0.102993082,0,2,0,0.369234743,1,5.054141533,1,0,0,1,0,0,1,1,1,0,0,184.41,164.01,1.16,0,1,0.078002564,3,1,1,1,4,5,2,5,0,1,0,40,0,1,1
fitb,Q4,2019,1,1,1,312,389,0,0,0.419721297,0.208228077,0.015429733,0,2,0,0.011875238,1,2.517925248,1,1,1,1,0,1,0,0,1,0,-0.046,26.75,26.51,0.57,0.02,0,0.123713923,4,1,0,1,5,5,3,5,4,1,4,80,91,1,1
hog,Q4,2019,1,1,1,195,250,0,0,0.152967015,0.395999718,0.052318877,0,0,0,0.123648149,1,5.835229251,1,1,0,1,1,0,0,1,0,0,-0.94,37.6,37.88,0.56,-0.11,0,0.07521522,3,1,0,1,3,5,4,5,4,1,4,50,0,1,1
jblu,Q4,2019,0,1,0,161,194,0,0,0.131290093,-0.245385451,0.117268173,0,2,0,0.282595512,1,0.894200127,0,0,1,1,2,0,0,0,0,0,-0.742,16.53,17.22,0.1,0.07,1,0.102531928,3,1,0,1,2,5,2,5,0,1,4,60,72,1,1
lmt,Q4,2019,1,1,1,748,695,0,0,0.105004003,0.639725505,0.042106392,0,0,0,0.136636003,1,8.651082251,1,1,0,1,1,0,1,1,0,0,0,301.69,298.37,4.13,-0.01,1,0.118649847,3,0,0,1,3,5,3,5,3,1,4,60,72,1,1
nee,Q4,2019,1,0,0,739,625,0,0,0.271530892,-0.141539781,0.054918694,0,2,0,0.094371054,1,0.237560348,0,1,1,0,0,1,0,1,1,0,-0.81,190.37,180.13,1.2,-0.04,1,0.128264724,3,1,1,1,5,5,5,5,4,1,4,50,91,1,0
ntrs,Q4,2019,1,1,1,281,351,0,0,0.303101696,0.26617296,0.008651387,0,2,0,0.013401436,1,11.60266896,1,1,1,1,0,1,0,1,1,0,0.149,92.45,91.98,1.39,0.03,0,0.093320103,4,1,0,1,5,5,3,5,4,1,4,80,91,1,1
nue,Q4,2019,1,0,0,369,410,0,0,0.086407419,0.211082901,0.083243894,0,2,0,0.155593527,1,3.976400642,0,1,1,0,2,0,1,1,0,1,0.685,58.77,58.81,1.48,0.13,1,0.101468846,3,0,0,0,2,5,5,5,0,1,4,50,74,1,0
pg,Q4,2019,0,1,1,1061,1178,0,1,0.203772019,0.231047748,0.127286016,0,2,0,0.197329331,1,3.270396622,1,0,0,1,0,0,1,1,1,0,0.28,102.63,94.61,1.01,0.04,0,0.110372845,4,0,0,1,5,5,4,5,0,1,4,80,0,1,1
phm,Q4,2019,0,1,0,238,294,0,0,0.109450031,0.523639048,0.046168804,0,2,0,0.119848578,1,121.3148248,1,1,1,0,2,0,1,1,0,0,2.07,27.97,26.31,0.44,-0.26,0,0.119113287,3,0,0,0,4,5,4,5,4,1,4,75,93,1,1
dgx,Q4,2019,1,1,1,291,324,0,0,0.138150214,0.22629108,0.073502809,0,2,0,0.214886613,1,6.732751092,1,1,1,1,1,0,1,1,0,0,-0.5,88.36,89.94,1.3,-0.01,0,0.091417856,3,1,0,1,2,4,4,5,3,1,4,40,0,1,1
shw,Q4,2019,0,0,0,420,435,0,0,0.101991499,-0.186873086,0.088797679,0,0,0,0.11582075,1,7.98234951,1,1,0,1,0,0,1,1,0,0,-0.882,433.76,413.75,3.37,-0.01,0,0.11513149,3,1,1,1,4,5,3,5,1,1,3,40,0,0,0
stt,Q4,2019,1,1,1,363,433,0,0,0.259580946,0.249051397,0.009130754,0,2,0,0.032081182,1,5.108874657,1,1,1,1,0,0,0,0,1,0,0.186,68.75,70.17,1.13,0.01,0,0.097117182,4,0,0,1,1,5,2,5,4,1,4,40,72,1,1
syk,Q4,2019,0,1,1,574,520,0,1,0.165782707,0.505574406,0.045952156,0,2,0,0.127609069,1,6.300759494,0,1,0,0,0,1,1,1,1,0,0,192.84,175.38,1.82,0.03,1,0.087095977,3,1,1,1,4,5,3,5,3,1,3,50,56,1,1
txn,Q4,2019,0,1,1,656,667,0,0,0.406389947,0.394407895,0.208706496,0,2,0,0.734154689,1,5.615990991,1,1,0,1,0,1,1,1,1,0,2.602,110.24,101.45,1.1,0.03,0,0.091207876,3,1,0,1,5,5,2,2,4,1,4,80,91,1,1
tss,Q4,2019,0,1,1,253,328,0,0,0.13354275,0.10010424,0.092579563,0,0,0,0.215469306,1,15.1528052,1,1,0,1,0,0,1,1,1,0,-0.437,95.43,90.21,1.09,0.01,1,0.101266771,3,0,0,1,5,5,3,5,2,1,0,40,0,1,0
utx,Q4,2019,1,1,1,865,998,0,0,0.129735782,0.366224398,0.04696657,0,0,0,0.086143067,1,5.8744355,1,1,0,1,1,0,0,1,0,1,0.728,129.16,123.59,1.64,0.42,1,0.105409594,4,1,1,1,5,5,4,5,3,1,4,80,0,1,1
vz,Q4,2019,1,1,1,1276,981,0,0,0.163400352,-0.483441779,0.117059379,0,0,0,0.114461347,1,1.423019601,0,1,0,1,1,0,1,1,1,0,-0.896,58.3,56.94,1.13,0.03,0,0.120340885,3,0,0,0,4,5,4,5,3,1,4,100,0,1,0
wat,Q4,2019,1,1,1,232,273,0,0,0.277641985,0.968318367,0.003814735,0,2,0,0.225732115,1,6.61100327,1,0,0,1,0,0,1,1,1,0,0,245.87,212.83,1.69,0.23,0,0.097264181,3,1,0,1,4,5,2,5,2,1,0,50,0,0,0
ebay,Q4,2019,0,1,1,321,505,1,0,0.229172963,1.445274725,-0.039136458,0,0,0,0.175391649,1,6.216030056,1,0,0,1,0,0,1,1,1,0,0,36.85,32.51,0.58,0.03,0,0.12141846,5,0,0,1,5,5,2,5,2,1,0,60,0,1,1
t,Q4,2019,1,1,1,1058,1294,0,1,0.094296962,-0.971530484,0.066314341,0,2,0,0.12582343,1,1.282091006,0,1,1,1,1,0,0,0,1,1,-0.745,31.18,30.75,0.79,0,1,0.108145751,3,0,0,0,5,5,3,2,3,1,0,80,0,0,0
apd,Q4,2019,0,0,0,533,448,0,0,0.172956666,0.184238401,0.162471842,0,2,0,0.189321033,1,0.970071799,0,0,0,1,0,0,1,1,1,0,1.248,188.42,168.06,1.83,-0.01,0,0.11365598,3,1,0,1,5,5,3,5,0,1,4,40,0,1,0
algn,Q4,2019,1,1,1,298,425,1,0,0.24540302,0.359981194,0.130166898,0,2,1,0.698882525,1,4.224319295,0,0,0,1,0,0,1,1,1,1,8.489,269.81,248.04,0.81,0.05,1,0.065124841,3,1,1,1,4,5,2,1,0,1,0,50,0,1,1
amp,Q4,2019,1,1,1,316,405,0,0,0.181773399,0.331526649,0.010035259,0,2,0,0.010764392,1,19.45686901,1,1,0,1,1,0,0,1,1,0,2.045,131.95,126.01,3.43,0.22,0,0.080357124,5,0,0,1,4,5,2,5,4,1,4,40,81,1,1
aph,Q4,2019,0,0,0,302,311,1,0,0.192888623,0.511461106,0.06502464,0,2,0,0.191963761,1,8.583863859,1,1,0,1,0,0,1,1,1,1,0,97.7,89.05,0.86,0.07,0,0.085057361,3,1,0,1,5,5,3,5,2,1,0,50,0,1,1
antm,Q4,2019,0,1,0,428,488,1,0,0.044020478,0.030524723,0.054479728,0,2,0,0.095033722,1,41.40183908,1,1,1,1,2,0,1,0,0,0,-0.655,287.37,281.3,5.05,0.24,1,0.082867253,5,0,0,1,2,4,4,5,3,1,4,60,0,1,0
avb,Q4,2019,1,0,0,274,225,0,0,0.400500717,0.000160812,0.047620392,0,2,0,0.156626482,1,0.124043179,1,0,1,0,0,1,0,0,1,1,0.624,199.35,187.48,1.1,1.65,0,0.108222639,3,1,0,1,5,5,4,5,2,1,4,40,91,0,0
avy,Q4,2019,1,1,1,218,313,0,0,0.089131815,0.521967769,0.054857988,0,0,0,0.158921456,1,6.024045906,1,1,0,1,1,0,1,1,0,0,0,111.82,100.05,1.4,0.02,0,0.095965688,3,1,1,1,5,5,3,5,3,1,4,100,0,1,0
biib,Q4,2019,1,1,1,490,572,0,0,0.417862293,0.479390891,0.107349721,0,2,0,0.411687548,1,3.856806184,1,0,0,1,0,1,1,1,1,0,0,265.64,308.19,6.38,0.26,1,0.213407214,3,1,0,1,2,4,4,1,0,1,4,60,72,1,1
ba,Q4,2019,1,1,1,958,977,0,0,0.107515558,0.16315425,0.075274559,0,0,0,0.12061564,1,7.418323864,1,1,0,1,0,0,1,1,0,1,0.031,385.08,366.17,2.75,0.91,0,0.128868429,4,1,1,1,3,5,1,5,3,1,4,60,72,0,0
bsx,Q4,2019,0,1,1,358,308,0,0,0.103006189,0.888412017,0.005461611,0,2,0,0.118536991,1,5.331761933,1,0,0,1,0,0,1,1,1,0,0,38.38,37.24,0.33,0.02,1,0.090086172,3,0,0,1,3,5,3,5,2,1,0,40,0,0,0
cat,Q4,2019,0,1,1,741,734,0,0,0.090141217,0.814787701,0.009797043,0,0,0,0.090290525,1,3.211727305,0,1,0,1,1,0,1,1,1,0,0,136.17,132.07,2.55,-0.44,0,0.114659444,3,1,1,1,3,5,1,5,0,1,4,60,72,1,1
cmg,Q4,2019,1,1,1,249,275,1,0,0.061599111,0.360806983,0.086158131,0,2,1,0.687292568,1,3.344684488,0,0,0,1,0,0,1,0,0,0,-0.269,674.86,535.82,2.32,0.35,1,0.082717825,5,0,0,1,5,5,1,5,0,1,0,40,0,1,1
cinf,Q4,2019,1,0,0,240,228,0,0,0.127355199,-0.431506849,0.047841414,0,2,0,0.077352941,1,30.98378378,1,1,1,1,0,0,0,0,0,0,0,85.62,80.8,0.78,0.14,1,0.112894478,3,0,0,1,5,5,4,5,3,1,4,40,0,1,1
efx,Q4,2019,1,0,0,205,274,0,0,0.222056986,0.199035628,0.0811928,0,2,0,0.204286,1,5.929805996,1,1,0,1,0,0,0,0,0,0,-0.851,116.89,107.98,1.18,0.06,0,0.086064026,4,0,0,1,4,5,4,5,0,1,0,40,0,1,0
ess,Q4,2019,1,1,1,241,204,0,0,0.32833588,2.18E-06,0.034656625,0,2,0,0.126434338,1,0.127572902,1,0,1,0,0,1,0,0,1,0,0.137,286.88,265.06,1.09,0.65,0,0.120478446,3,0,0,1,4,5,4,5,0,1,4,40,0,1,0
ffiv,Q4,2019,1,1,1,242,290,1,0,0.275361584,0.268899094,0.169902229,0,2,1,0.593603385,1,17.07270871,1,0,0,1,0,0,1,1,1,0,0.48,159.83,166.03,2.43,0.16,0,0.064576961,4,1,0,1,5,5,2,2,3,1,4,80,0,1,0
flir,Q4,2019,1,1,1,210,272,0,0,0.154998739,0.615777686,0.038157298,0,2,0,0.316004215,1,6.81992909,1,1,0,1,0,0,1,1,1,0,0,49.08,48.6,0.47,0.02,0,0.111275132,3,1,0,1,2,5,4,3,3,1,4,40,0,1,1
fb,Q4,2019,0,0,0,1051,1273,0,0,0.50658008,0.226279499,0.188514505,1,2,0,2.379483148,1,2.962830697,1,0,0,1,0,1,1,1,1,1,0.612,171.3,154.14,1.39,0.19,1,0.105643608,4,1,1,1,5,5,2,4,2,1,0,0,0,1,1
fe,Q4,2019,1,1,1,313,277,0,0,-0.060835107,-1.079613993,-0.040797974,0,0,0,0.099342586,1,0.471865369,0,1,0,1,1,0,0,1,1,0,0,41.05,39.02,0.51,0.03,0,0.124286465,3,0,0,1,5,5,5,5,3,1,4,25,0,1,1
fbhs,Q4,2019,1,0,0,222,281,0,0,0.120152178,0.251260239,0.085749537,0,1,0,0.206267395,1,7.139594595,1,1,0,1,1,0,1,1,0,0,-0.334,47.43,44.9,0.54,-0.07,0,0.083973313,3,0,0,0,2,5,2,5,3,1,4,50,0,1,1
