Company,UNHUnitedHealthGroupIncorporated,ANTMAnthemInc.,CICignaCorporation,HUMHumanaInc.,PattersonCompaniesInc.
PEG,N/A,N/A,N/A,N/A,N/A
ThisrowincludesthePEGRatio.ThePEGRatioisdefinedastheforecastedearningsforthenext12monthsdividedbytheforecastedgrowthrateforthecompanybaseduponaconsensusofparticipatinganalysts.AccordingtoInvestopedia.comPEGisawidelyusedindicatorofastockspotentialvalue.Itisfavoredbymanyovertheprice/earningsratiobecauseitalsoaccountsforgrowth.SimilartotheP/EratioalowerPEGmeansthatthestockismoreundervalued.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive.04andbelowPositive.09to.05Neutral1to1.5Negative1.6-2MoreNegative2.1-2.9VeryNegative3.0andabove,,,,,
AnnualizedDividend,N/A,N/A,N/A,N/A,1.04
DividendYield,1.48,1.15,0.03,0.89,4.84
DividendYield.AccordingtoInvestopedia.comitisafinancialratiothatshowshowmuchacompanypaysoutindividendseachyearrelativetoitsshareprice.Addingthehigherthedividendyieldthemorelikelyaninvestorwouldselectthatstock.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive6%andabovePositive1.3-5%Neutral1to1.2%NegativeN/AMoreNegativeN/AVeryNegativeN/A,,,,,
MeanRecommendation,2.13,2.13,2.47,2.42,1.93
ConsensusRatingTheaverageofanalystsrecommendationsforasingleentity.Asmanybrokershavedifferentratingssystemstheirrecommendationsmustbestandardizedsothataconsensuscanbecalculated.TheThomsonFinancialI/B/E/SratingsarecalculatedusingastandardsetofrecommendationsmaintainedbyThomsonFinancialI/B/E/Seachwithanassignednumericvalue1StrongBuy2Buy3Hold4Underperform5SellMeanRecommendationEachrecommendationreceivedfromtheanalystsismappedtooneoftheThomsonFinancialI/B/E/Sstandardratings.AssigninganumericvaluetothebrokertextenablesThomsonFinancialI/B/E/Stocalculateaconsensusrecommendation.Thisconsensusrecommendationappearsasthemeanaverageoftheassignedvalues.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositivePositiveNeutralNegativeVeryNegative,,,,,
ForecastEarningsGrowth,22.12%,22.12%,12.31%,11.79%,8.80%
IndustryForecastEarningsGrowth,17.02%,17.02%,17.02%,17.02%,8.37%
Growthraterelativetoindustry,5.11%,5.11%,-4.70%,-5.23%,0.44%
P/E/GrowthInvestorPeterLynch,91%,0%,0%,0%,0%
GrowthValuesInvestorJamesOShaughnessey,100%,60%,60%,60%,50%
varSymbolListdocument.getElementByIdquotescontentleftSCSymbolListValues.valuedocument.getElementByIdchartholder.innerHTMLshowChartsym+SymbolList+showInputfalsetypecandleperiod1y
CLOSEXEditFavoritesEnterupto25symbolsseparatedbycommasorspacesinthetextboxbelow.Thesesymbolswillbeavailableduringyoursessionforuseonapplicablepages.UpdateClearListCLOSEXCustomizeyourNASDAQ.comexperienceBackgroundColorSelectorSelectthebackgroundcolorofyourchoiceBlackSlateGrayLightGrayGrayBlueQuoteSearchSelectadefaulttargetpageforyourquotesearchReal-TimeAfterHoursPre-MarketNewsFlashQuoteSummaryQuoteInteractiveChartsDefaultSettingPleasenotethatonceyoumakeyourselectionitwillapplytoallfuturevisitstoNASDAQ.com.IfatanytimeyouareinterestedinrevertingtoourdefaultsettingspleaseselectDefaultSettingabove.Ifyouhaveanyquestionsorencounteranyissuesinchangingyourdefaultsettingspleaseemailisfeedbacknasdaq.com.CLOSEXPleaseconfirmyourselectionYouhaveselectedtochangeyourdefaultsettingfortheQuoteSearch.Thiswillnowbeyourdefaulttargetpageunlessyouchangeyourconfigurationagainoryoudeleteyourcookies.AreyousureyouwanttochangeyoursettingsYESNO
CLOSEXPleasedisableyouradblockerorupdateyoursettingstoensurethatjavascriptandcookiesareenabledsothatwecancontinuetoprovideyouwiththefirst-ratemarketnewsanddatayouvecometoexpectfromus.CLOSEX
