Company,MCDMcDonaldsCorporation,StarbucksCorporation,YUMYumBrandsInc.,QSRRestaurantBrandsInternationalInc.,DRIDardenRestaurantsInc.
DividendYield.AccordingtoInvestopedia.comitisafinancialratiothatshowshowmuchacompanypaysoutindividendseachyearrelativetoitsshareprice.Addingthehigherthedividendyieldthemorelikelyaninvestorwouldselectthatstock.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive6%andabovePositive1.3-5%Neutral1to1.2%NegativeN/AMoreNegativeN/AVeryNegativeN/A,,,,,
MeanRecommendation,2,2.16,2.26,2.26,1.82
ConsensusRatingTheaverageofanalystsrecommendationsforasingleentity.Asmanybrokershavedifferentratingssystemstheirrecommendationsmustbestandardizedsothataconsensuscanbecalculated.TheThomsonFinancialI/B/E/SratingsarecalculatedusingastandardsetofrecommendationsmaintainedbyThomsonFinancialI/B/E/Seachwithanassignednumericvalue1StrongBuy2Buy3Hold4Underperform5SellMeanRecommendationEachrecommendationreceivedfromtheanalystsismappedtooneoftheThomsonFinancialI/B/E/Sstandardratings.AssigninganumericvaluetothebrokertextenablesThomsonFinancialI/B/E/Stocalculateaconsensusrecommendation.Thisconsensusrecommendationappearsasthemeanaverageoftheassignedvalues.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositivePositiveNeutralNegativeVeryNegative,,,,,
ForecastEarningsGrowth,15.50%,15.49%,15.18%,15.18%,16.66%
IndustryForecastEarningsGrowth,10.39%,16.23%,10.39%,10.39%,10.39%
Growthraterelativetoindustry,5.11%,-0.74%,4.79%,4.79%,6.27%
P/E/GrowthInvestorPeterLynch,0%,72%,72%,N/A,87%
GrowthValuesInvestorJamesOShaughnessey,60%,60%,40%,40%,40%
varSymbolListdocument.getElementByIdquotescontentleftSCSymbolListValues.valuedocument.getElementByIdchartholder.innerHTMLshowChartsym+SymbolList+showInputfalsetypecandleperiod1y
CLOSEXEditFavoritesEnterupto25symbolsseparatedbycommasorspacesinthetextboxbelow.Thesesymbolswillbeavailableduringyoursessionforuseonapplicablepages.UpdateClearListCLOSEXCustomizeyourNASDAQ.comexperienceBackgroundColorSelectorSelectthebackgroundcolorofyourchoiceBlackSlateGrayLightGrayGrayBlueQuoteSearchSelectadefaulttargetpageforyourquotesearchReal-TimeAfterHoursPre-MarketNewsFlashQuoteSummaryQuoteInteractiveChartsDefaultSettingPleasenotethatonceyoumakeyourselectionitwillapplytoallfuturevisitstoNASDAQ.com.IfatanytimeyouareinterestedinrevertingtoourdefaultsettingspleaseselectDefaultSettingabove.Ifyouhaveanyquestionsorencounteranyissuesinchangingyourdefaultsettingspleaseemailisfeedbacknasdaq.com.CLOSEXPleaseconfirmyourselectionYouhaveselectedtochangeyourdefaultsettingfortheQuoteSearch.Thiswillnowbeyourdefaulttargetpageunlessyouchangeyourconfigurationagainoryoudeleteyourcookies.AreyousureyouwanttochangeyoursettingsYESNO
CLOSEXPleasedisableyouradblockerorupdateyoursettingstoensurethatjavascriptandcookiesareenabledsothatwecancontinuetoprovideyouwiththefirst-ratemarketnewsanddatayouvecometoexpectfromus.CLOSEX
